Frame	Joint Torques (Nm)	Angles (rad)	End Effector Position (m)
0	0.00, -22.07, -9.81, 0.00, 0.00	0.00, 0.00, 0.00, 0.00, 0.00	1.00, 0.00, 0.00
1	0.00, -22.07, -9.81, 0.00, 0.00	0.00, 0.00, 0.00, 0.00, 0.00	1.00, 0.00, 0.00
2	0.00, -22.07, -9.80, 0.01, 0.00	0.00, 0.00, 0.00, -0.01, 0.00	1.00, 0.00, 0.00
3	0.00, -22.06, -9.80, 0.01, 0.00	0.00, 0.00, 0.00, -0.01, 0.00	1.00, 0.00, 0.00
4	0.00, -22.06, -9.79, 0.02, 0.00	0.00, 0.00, 0.00, -0.02, 0.00	1.00, 0.00, 0.00
5	0.00, -22.05, -9.79, 0.02, 0.00	0.00, 0.00, 0.00, -0.02, 0.00	1.00, 0.00, 0.00
6	0.00, -22.05, -9.78, 0.03, 0.00	0.00, 0.00, 0.00, -0.03, 0.00	1.00, 0.00, 0.00
7	0.00, -22.04, -9.78, 0.03, 0.00	0.00, 0.00, 0.00, -0.03, 0.00	1.00, 0.00, 0.00
8	0.00, -22.04, -9.77, 0.04, 0.00	0.00, 0.00, 0.00, -0.04, 0.00	1.00, 0.00, 0.00
9	0.00, -22.03, -9.77, 0.04, 0.00	0.00, 0.00, 0.00, -0.04, 0.00	1.00, 0.00, 0.00
10	0.00, -22.03, -9.76, 0.05, 0.00	0.00, 0.00, 0.00, -0.05, 0.00	1.00, 0.00, 0.00
11	0.00, -22.02, -9.76, 0.05, 0.00	0.00, 0.00, 0.00, -0.05, 0.00	0.99, 0.00, 0.00
12	0.00, -22.02, -9.75, 0.06, 0.00	0.00, 0.00, 0.00, -0.06, 0.00	0.99, 0.00, 0.00
13	0.00, -22.01, -9.75, 0.06, 0.00	0.00, 0.00, 0.00, -0.06, 0.00	0.99, 0.00, 0.00
14	0.00, -22.01, -9.74, 0.07, 0.00	0.00, 0.00, 0.00, -0.07, 0.00	0.99, 0.00, 0.00
15	0.00, -22.00, -9.74, 0.07, 0.00	0.00, 0.00, 0.00, -0.07, 0.00	0.99, 0.00, 0.00
16	0.00, -22.00, -9.73, 0.08, 0.00	0.00, 0.00, 0.00, -0.08, 0.00	0.99, 0.00, 0.00
17	0.00, -21.99, -9.73, 0.08, 0.00	0.00, 0.00, 0.00, -0.08, 0.00	0.99, 0.00, 0.00
18	0.00, -21.99, -9.72, 0.09, 0.00	0.00, 0.00, 0.00, -0.09, 0.00	0.99, 0.00, 0.00
19	0.00, -21.98, -9.72, 0.09, 0.00	0.00, 0.00, 0.00, -0.09, 0.00	0.99, 0.00, 0.00
20	0.00, -21.98, -9.71, 0.10, 0.00	0.00, 0.00, 0.00, -0.10, 0.00	0.99, 0.00, 0.00
21	0.00, -21.97, -9.71, 0.10, 0.00	0.00, 0.00, 0.00, -0.10, 0.00	0.99, 0.00, 0.00
22	0.00, -21.96, -9.70, 0.11, 0.00	0.00, 0.00, 0.00, -0.11, 0.00	0.99, 0.00, 0.00
23	0.00, -21.96, -9.70, 0.11, 0.00	0.00, 0.00, 0.00, -0.12, 0.00	0.99, 0.00, 0.00
24	0.00, -21.95, -9.69, 0.12, 0.00	0.00, 0.00, 0.00, -0.12, 0.00	0.99, 0.00, 0.00
25	0.00, -21.95, -9.69, 0.12, 0.00	0.00, 0.00, 0.00, -0.13, 0.00	0.99, 0.00, 0.00
26	0.00, -21.94, -9.68, 0.13, 0.00	0.00, 0.00, 0.00, -0.13, 0.00	0.99, 0.00, 0.00
27	0.00, -21.94, -9.68, 0.13, 0.00	0.00, 0.00, 0.00, -0.14, 0.00	0.99, 0.00, 0.00
28	0.00, -21.93, -9.67, 0.14, 0.00	0.00, 0.00, 0.00, -0.14, 0.00	0.99, 0.00, 0.00
29	0.00, -21.93, -9.67, 0.14, 0.00	0.00, 0.00, 0.00, -0.15, 0.00	0.99, 0.00, 0.00
30	0.00, -21.92, -9.66, 0.15, 0.00	0.00, 0.00, 0.00, -0.15, 0.00	0.98, 0.00, 0.00
31	0.00, -21.92, -9.66, 0.15, 0.00	0.00, 0.00, 0.00, -0.16, 0.00	0.98, 0.00, 0.00
32	0.00, -21.91, -9.65, 0.16, 0.00	0.00, 0.00, 0.00, -0.16, 0.00	0.98, 0.00, 0.00
33	0.00, -21.91, -9.65, 0.16, 0.00	0.00, 0.00, 0.00, -0.17, 0.00	0.98, 0.00, 0.00
34	0.00, -21.90, -9.64, 0.17, 0.00	0.00, 0.00, 0.00, -0.17, 0.00	0.98, 0.00, 0.00
35	0.00, -21.90, -9.64, 0.17, 0.00	0.00, 0.00, 0.00, -0.18, 0.00	0.98, 0.00, 0.00
36	0.00, -21.89, -9.63, 0.18, 0.00	0.00, 0.00, 0.00, -0.18, 0.00	0.98, 0.00, 0.00
37	0.00, -21.89, -9.63, 0.18, 0.00	0.00, 0.00, 0.00, -0.19, 0.00	0.98, 0.00, 0.00
38	0.00, -21.88, -9.62, 0.19, 0.00	0.00, 0.00, 0.00, -0.19, 0.00	0.98, 0.00, 0.00
39	0.00, -21.88, -9.62, 0.19, 0.00	0.00, 0.00, 0.00, -0.20, 0.00	0.98, 0.00, 0.00
40	0.00, -21.87, -9.61, 0.20, 0.00	0.00, 0.00, 0.00, -0.20, 0.00	0.98, 0.00, 0.00
41	0.00, -21.87, -9.61, 0.20, 0.00	0.00, 0.00, 0.00, -0.21, 0.00	0.98, 0.00, 0.00
42	0.00, -21.86, -9.60, 0.21, 0.00	0.00, 0.00, 0.00, -0.21, 0.00	0.98, 0.00, 0.00
43	0.00, -21.86, -9.60, 0.21, 0.00	0.00, 0.00, 0.00, -0.22, 0.00	0.98, 0.00, 0.00
44	0.00, -21.85, -9.59, 0.22, 0.00	0.00, 0.00, 0.00, -0.23, 0.00	0.98, 0.00, 0.00
45	0.00, -21.85, -9.59, 0.22, 0.00	0.00, 0.00, 0.00, -0.23, 0.00	0.98, 0.00, 0.00
46	0.00, -21.84, -9.58, 0.23, 0.00	0.00, 0.00, 0.00, -0.24, 0.00	0.98, 0.00, 0.00
47	0.00, -21.84, -9.58, 0.23, 0.00	0.00, 0.00, 0.00, -0.24, 0.00	0.98, 0.00, 0.00
48	0.00, -21.83, -9.57, 0.24, 0.00	0.00, 0.00, 0.00, -0.25, 0.00	0.98, 0.00, 0.00
49	0.00, -21.83, -9.57, 0.24, 0.00	0.00, 0.00, 0.00, -0.25, 0.00	0.98, 0.00, 0.00
50	0.00, -21.82, -9.56, 0.25, 0.00	0.00, 0.00, 0.00, -0.26, 0.00	0.97, 0.00, 0.00
51	0.00, -21.82, -9.56, 0.25, 0.00	0.00, 0.00, 0.00, -0.26, 0.00	0.97, 0.00, 0.00
52	0.00, -21.81, -9.55, 0.26, 0.00	0.00, 0.00, 0.00, -0.27, 0.00	0.97, 0.00, 0.00
53	0.00, -21.81, -9.55, 0.26, 0.00	0.00, 0.00, 0.00, -0.27, 0.00	0.97, 0.00, 0.00
54	0.00, -21.80, -9.54, 0.27, 0.00	0.00, 0.00, 0.00, -0.28, 0.00	0.97, 0.00, 0.00
55	0.00, -21.80, -9.54, 0.27, 0.00	0.00, 0.00, 0.00, -0.28, 0.00	0.97, 0.00, 0.00
56	0.00, -21.79, -9.53, 0.28, 0.00	0.00, 0.00, 0.00, -0.29, 0.00	0.97, 0.00, 0.00
57	0.00, -21.79, -9.53, 0.28, 0.00	0.00, 0.00, 0.00, -0.29, 0.00	0.97, 0.00, 0.00
58	0.00, -21.78, -9.52, 0.29, 0.00	0.00, 0.00, 0.00, -0.30, 0.00	0.97, 0.00, 0.00
59	0.00, -21.78, -9.52, 0.29, 0.00	0.00, 0.00, 0.00, -0.30, 0.00	0.97, 0.00, 0.00
60	0.00, -21.77, -9.51, 0.30, 0.00	0.00, 0.00, 0.00, -0.31, 0.00	0.97, 0.00, 0.00
61	0.00, -21.77, -9.51, 0.30, 0.00	0.00, 0.00, 0.00, -0.31, 0.00	0.97, 0.00, 0.00
62	0.00, -21.76, -9.50, 0.31, 0.00	0.00, 0.00, 0.00, -0.32, 0.00	0.97, 0.00, 0.01
63	0.00, -21.76, -9.50, 0.31, 0.00	0.00, 0.00, 0.00, -0.32, 0.00	0.97, 0.00, 0.01
64	0.00, -21.75, -9.49, 0.32, 0.00	0.00, 0.00, 0.00, -0.33, 0.00	0.97, 0.00, 0.01
65	0.00, -21.75, -9.49, 0.32, 0.00	0.00, 0.00, 0.00, -0.34, 0.00	0.97, 0.00, 0.01
66	0.00, -21.75, -9.48, 0.33, 0.00	0.00, 0.00, 0.00, -0.34, 0.00	0.97, 0.00, 0.01
67	0.00, -21.74, -9.48, 0.33, 0.00	0.00, 0.00, 0.00, -0.35, 0.00	0.97, 0.00, 0.01
68	0.00, -21.74, -9.47, 0.34, 0.00	0.00, 0.00, 0.00, -0.35, 0.00	0.97, 0.00, 0.01
69	0.00, -21.73, -9.47, 0.34, 0.00	0.00, 0.00, 0.00, -0.36, 0.00	0.97, 0.00, 0.01
70	0.00, -21.73, -9.46, 0.35, 0.00	0.00, 0.00, 0.00, -0.36, 0.00	0.96, 0.00, 0.01
71	0.00, -21.72, -9.46, 0.35, 0.00	0.00, 0.00, 0.00, -0.37, 0.00	0.96, 0.00, 0.01
72	0.00, -21.72, -9.45, 0.36, 0.00	0.00, 0.00, 0.00, -0.37, 0.00	0.96, 0.00, 0.01
73	0.00, -21.71, -9.45, 0.36, 0.00	0.00, 0.00, 0.00, -0.38, 0.00	0.96, 0.00, 0.01
74	0.00, -21.71, -9.44, 0.37, 0.00	0.00, 0.00, 0.00, -0.38, 0.00	0.96, 0.00, 0.01
75	0.00, -21.70, -9.44, 0.37, 0.00	0.00, 0.00, 0.00, -0.39, 0.00	0.96, 0.00, 0.01
76	0.00, -21.70, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.39, 0.00	0.96, 0.00, 0.01
77	0.00, -21.69, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.40, 0.00	0.96, 0.00, 0.01
78	0.00, -21.69, -9.43, 0.38, 0.00	0.00, 0.00, 0.00, -0.40, 0.00	0.96, 0.00, 0.01
79	0.00, -21.68, -9.42, 0.39, 0.00	0.00, 0.00, 0.00, -0.41, 0.00	0.96, 0.00, 0.01
80	0.00, -21.68, -9.42, 0.39, 0.00	0.00, 0.00, 0.00, -0.41, 0.00	0.96, 0.00, 0.01
81	0.00, -21.67, -9.41, 0.40, 0.00	0.00, 0.00, 0.00, -0.42, 0.00	0.96, 0.00, 0.01
82	0.00, -21.67, -9.41, 0.40, 0.00	0.00, 0.00, 0.00, -0.42, 0.00	0.96, 0.00, 0.01
83	0.00, -21.66, -9.40, 0.41, 0.00	0.00, 0.00, 0.00, -0.43, 0.00	0.96, 0.00, 0.01
84	0.00, -21.66, -9.40, 0.41, 0.00	0.00, 0.00, 0.00, -0.43, 0.00	0.96, 0.00, 0.01
85	0.00, -21.65, -9.39, 0.42, 0.00	0.00, 0.00, 0.00, -0.44, 0.00	0.96, 0.00, 0.01
86	0.00, -21.65, -9.39, 0.42, 0.00	0.00, 0.00, 0.00, -0.45, 0.00	0.96, 0.00, 0.01
87	0.00, -21.65, -9.38, 0.43, 0.00	0.00, 0.00, 0.00, -0.45, 0.00	0.96, 0.00, 0.01
88	0.00, -21.64, -9.38, 0.43, 0.00	0.00, 0.00, 0.00, -0.46, 0.00	0.96, 0.00, 0.01
89	0.00, -21.64, -9.37, 0.44, 0.00	0.00, 0.00, 0.00, -0.46, 0.00	0.96, 0.00, 0.01
90	0.00, -21.63, -9.37, 0.44, 0.00	0.00, 0.00, 0.00, -0.47, 0.00	0.96, 0.00, 0.01
91	0.00, -21.63, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.47, 0.00	0.95, 0.00, 0.01
92	0.00, -21.62, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.48, 0.00	0.95, 0.00, 0.01
93	0.00, -21.62, -9.36, 0.45, 0.00	0.00, 0.00, 0.00, -0.48, 0.00	0.95, 0.00, 0.01
94	0.00, -21.61, -9.35, 0.46, 0.00	0.00, 0.00, 0.00, -0.49, 0.00	0.95, 0.00, 0.01
95	0.00, -21.61, -9.35, 0.46, 0.00	0.00, 0.00, 0.00, -0.49, 0.00	0.95, 0.00, 0.01
96	0.00, -21.60, -9.34, 0.47, 0.00	0.00, 0.00, 0.00, -0.50, 0.00	0.95, 0.00, 0.01
97	0.00, -21.60, -9.34, 0.47, 0.00	0.00, 0.00, 0.00, -0.50, 0.00	0.95, 0.00, 0.01
98	0.00, -21.60, -9.33, 0.48, 0.00	0.00, 0.00, 0.00, -0.51, 0.00	0.95, 0.00, 0.01
99	0.00, -21.59, -9.33, 0.48, 0.00	0.00, 0.00, 0.00, -0.51, 0.00	0.95, 0.00, 0.01
100	0.00, -21.59, -9.32, 0.49, 0.00	0.00, 0.00, 0.00, -0.52, 0.00	0.95, 0.00, 0.01
101	0.00, -21.58, -9.32, 0.49, 0.00	0.00, 0.00, 0.00, -0.52, 0.00	0.95, 0.00, 0.01
